Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.58958435058594,171.79367814662248,169.55158119602822,171.37847688479937,121465900
2015-01-05,167.50881958007812,169.709381481765,167.20157466159998,169.5433034899103,169632600
2015-01-06,165.9310760498047,168.33923884704024,165.13388387080252,167.8160810836032,209151400
2015-01-07,167.99871826171875,168.33918630851923,166.81124883581793,167.25966058528658,125346700
2015-01-08,170.9799346923828,171.19584753387758,169.39387494423588,169.41047387747284,147217800
2015-01-09,169.60977172851562,171.4117442821808,168.9952690955981,171.39513267833408,158567300
2015-01-12,168.28106689453125,169.90036195764486,167.67487659816504,169.74258345029023,144396100
2015-01-13,167.80775451660156,170.63111821399596,166.50401638682845,169.50177020085064,214553300
2015-01-14,166.7946319580078,166.9939331019815,164.8930159758004,165.78983944634336,192991100
2015-01-15,165.26673889160156,167.74963470481038,165.1504830274808,167.43409031416195,176613900
2015-01-16,167.43406677246094,167.59184528107048,164.87642545047697,165.0591150213999,211879600
2015-01-20,167.79119873046875,168.3392676553915,166.22173784251143,168.0735326599349,130991100
2015-01-21,168.63815307617188,169.11978808054434,166.86109210807777,167.32611551342015,122942700
2015-01-22,171.1460418701172,171.27889670351124,168.0154194055014,169.39389125337328,174356000
2015-01-23,170.20761108398438,171.1459700168589,170.07474363543025,170.88853458368385,117516800
2015-01-26,170.6062469482422,170.69759175998647,169.27761011580108,169.9917570064542,92009700
2015-01-27,168.35581970214844,169.50176661957002,167.5254171415259,168.54680874322912,134044600
2015-01-28,166.19677734375,169.64294309619982,166.0057882919043,169.54329883800872,168514300
2015-01-29,167.73306274414062,167.99048557958827,164.98441888809216,166.39611375631884,173585400
2015-01-30,165.623779296875,167.88247515427264,165.3580570806183,166.55383873111552,197729700
2015-02-02,167.67489624023438,167.7662410356698,164.30346361569946,166.12204738877088,163107000
2015-02-03,170.09971618652344,170.1080283243986,168.19809924157047,168.5717779886377,124212900
2015-02-04,169.4519805908203,170.54811828639697,168.9952565509967,169.33572471440522,134306700
2015-02-05,171.16256713867188,171.3120461844523,170.0415313145359,170.11626450195752,97953200
2015-02-06,170.68927001953125,172.0926525482205,170.1661122868168,171.52797214814254,125672000
2015-02-09,169.92535400390625,170.76405639368718,169.51845201053803,170.04160990616245,87219000
2015-02-10,171.73558044433594,171.99300325411252,169.96681863776303,170.96331201500612,96164200
2015-02-11,171.83523559570312,172.2670485751251,170.92180016997025,171.569513303633,91087800
2015-02-12,173.48773193359375,173.5458662051039,171.8684491899935,172.63241815951415,97545900
2015-02-13,174.20184326171875,174.251665386607,173.35482912580744,173.61226455595855,93670400
2015-02-17,174.47589111328125,174.6502812348143,173.63718904727858,173.88629969098562,76968200
2015-02-18,174.49253845214844,174.56727166056717,173.83651316685336,174.10224813581863,80652900
2015-02-19,174.36793518066406,174.73331435364972,173.7534453633138,173.89461228543314,91462500
2015-02-20,175.4142608642578,175.4889940619526,173.32994209721713,173.95274408655172,140896400
2015-02-23,175.38934326171875,175.38934326171875,174.78314022494982,175.16513100605164,74411100
2015-02-24,175.88754272460938,176.08684387620565,175.01561760891255,175.314563000839,72472300
2015-02-25,175.73814392089844,176.24469012219518,175.39767574097388,175.7630549905572,73061700
2015-02-26,175.53050231933594,175.80453669266015,174.9242993097379,175.64675817429733,72697900
2015-02-27,174.93267822265625,175.69664737131194,174.88285607593087,175.4309123608529,108076000
2015-03-02,176.03704833984375,176.0951699318348,174.98243351032423,175.03225563801308,87491400
2015-03-03,175.3145751953125,176.08685612439723,174.4509621535296,175.60522114440676,110325800
2015-03-04,174.57553100585938,174.79144378625784,173.60396150687967,174.71669792407647,114497200
2015-03-05,174.7665557861328,175.0488896598261,174.26000963818214,174.8994105866747,76873000
2015-03-06,172.30853271484375,174.33471700640686,171.9763767562986,173.9029041235481,188128000
2015-03-09,173.022705078125,173.3797721529451,172.3500809262531,172.507859464779,89818900
2015-03-10,170.21591186523438,171.7355500586221,170.1743892033727,171.65251740583616,157121300
2015-03-11,169.8173828125,170.64778566243888,169.73433745912934,170.47339548873725,110145700
2015-03-12,171.9763641357422,172.0427851858268,170.39859177109423,170.44841389412602,93993500
2015-03-13,170.92178344726562,172.66562145538168,169.88378010757538,171.70236398606295,162410900
2015-03-16,173.20542907714844,173.29677389806815,170.94673229708107,171.65257979245538,136099200
2015-03-17,172.6905517578125,173.07252990561386,171.87674798548153,172.46633948005277,94510400
2015-03-18,174.7665557861328,175.43917993796543,171.57779982527737,172.21721344470942,228808500
2015-03-19,173.9693603515625,174.7748519597055,173.57907008077407,174.35135115714198,117917300
2015-03-20,175.50494384765625,176.01375103839567,174.73756480592598,174.92106987324172,177715100
2015-03-23,175.16294860839844,176.08881041728557,175.16294860839844,175.5132729783155,71784500
2015-03-24,174.1787109375,175.4965924373723,174.11198066589287,175.0378425022575,77805300
2015-03-25,171.62632751464844,174.62078961866382,171.58463223103246,174.3872400294228,159521700
2015-03-26,171.2176513671875,172.1351641310568,170.25841785757385,170.95907947257433,153067200
2015-03-27,171.60968017578125,171.7848360301773,170.90901857569716,171.10087291003566,118939000
2015-03-30,173.70323181152344,174.0035116169121,172.6272365999199,172.64390961925017,96180400
2015-03-31,172.18519592285156,173.57816980964458,172.1268148836293,172.87750824648245,126768700
2015-04-01,171.5762939453125,172.17685370669852,170.58370176392452,172.15183144393234,137303600
2015-04-02,172.19357299804688,172.64398654306976,171.32609196151944,171.50959707588095,86900900
2015-04-06,173.3529510498047,173.87009478388543,171.16758858385168,171.30103640950233,114368200
2015-04-07,172.8941650390625,174.12864317048462,172.86080626902285,173.37794993336917,81236300
2015-04-08,173.47805786132812,173.92013479560092,172.7273645424683,173.11939695248358,89351900
2015-04-09,174.24545288085938,174.4790025004388,172.8191328989635,173.3112544025416,85548900
2015-04-10,175.19635009765625,175.23805811727982,174.29552305679044,174.49570118698256,72722900
2015-04-13,174.40390014648438,175.68843551975615,174.3538556278499,175.05450434372696,74436600
2015-04-14,174.73760986328125,174.9211149779151,173.5781981267318,174.203780273665,75099900
2015-04-15,175.5216522216797,176.0304595148972,175.1212832339432,175.2046992731594,99529300
2015-04-16,175.4715576171875,175.98036476521352,174.98777272828596,175.18796352877877,68934900
2015-04-17,173.4530487060547,174.5207077292204,172.66898382677687,174.27882160119827,191113200
2015-04-20,175.03787231445312,175.37151100181563,174.29551541669645,174.37891872478704,92189500
2015-04-21,174.829345703125,175.88031902757646,174.52906579221028,175.72183619577424,72559800
2015-04-22,175.68849182128906,175.87199693342006,174.24547319157696,175.17133526551024,78264600
2015-04-23,176.13050842285156,176.781112605387,175.17127516988498,175.28804995322474,102585900
2015-04-24,176.5392303466797,176.80615143504272,176.08881691943958,176.5475795853773,61327400
2015-04-27,175.80526733398438,177.23158748772988,175.61341298032173,177.10647615055967,79358100
2015-04-28,176.3641357421875,176.41418028175357,174.60416397826708,175.78026156807934,86863500
2015-04-29,175.638427734375,176.23897481108523,174.82934057391154,175.4715956673724,125684900
2015-04-30,173.8784637451172,175.45493011644547,173.17780212535993,175.06289765178974,161304900
2015-05-01,175.76351928710938,175.80522729916868,174.56239981379227,174.66248886073592,103399700
2015-05-04,176.26400756835938,176.84788161296643,176.0805024789829,176.1889280481602,70927200
2015-05-05,174.24545288085938,176.38078368879954,174.1036558066504,176.02211001962414,113326200
2015-05-06,173.52810668945312,175.10457288015732,172.4604477204841,174.79595648791593,135060200
2015-05-07,174.2204132080078,174.64581711562727,173.0943732391586,173.42801188307723,88244900
2015-05-08,176.51419067382812,176.71438147035315,175.81354197723576,175.89695799099536,155877300
2015-05-11,175.67176818847656,176.73942712293612,175.59670140265482,176.47251875307046,75708100
2015-05-12,175.14625549316406,175.68843413826767,174.0118664122129,174.83763914568004,119727600
2015-05-13,175.17965698242188,176.1805857010991,174.94610737231383,175.55500366098843,94667900
2015-05-14,177.00637817382812,177.09813072563637,175.92203330541275,176.19729096083748,95934000
2015-05-15,177.1982421875,177.34003928958066,176.71445710113534,177.1982421875,76510100
2015-05-18,177.74871826171875,177.9989408997625,176.96465338918333,177.03138366849478,74549700
2015-05-19,177.69036865234375,178.1407949677567,177.4067744404186,177.86553727000492,72114600
2015-05-20,177.56521606445312,178.3159094457968,177.24825041444154,177.79041644235647,76857500
2015-05-21,178.0823516845703,178.29087902846325,177.25657882085463,177.4234108779682,64764600
2015-05-22,177.65695190429688,178.11570185670502,177.59022163017426,177.69864718906243,57433500
2015-05-26,175.74681091308594,177.59019789782366,175.32975630117662,177.16479404807828,124308600
2015-05-27,177.41505432128906,177.6486039186167,175.79688016302015,176.20559832209273,93214000
2015-05-28,177.21485900878906,177.32328455790875,176.52254679557575,177.10642073217215,74974600
2015-05-29,176.1138916015625,177.18988733149274,175.84698316125107,177.14819203558602,124919600
2015-06-01,176.4725799560547,177.11483520526997,175.68016562812193,176.781196445353,93338800
2015-06-02,176.29739379882812,176.98970624792275,175.38821745010807,176.01379960835607,91531000
2015-06-03,176.76443481445312,177.39001676639873,176.2723134001886,176.83116508329366,87820900
2015-06-04,175.27137756347656,176.71438297583452,174.95441198148583,176.05544228050823,151882800
2015-06-05,174.9711456298828,175.6467722585617,174.3121920266649,175.12127922403351,121704700
2015-06-08,173.8951416015625,175.01285798264342,173.82007480262817,174.86271165727408,89063300
2015-06-09,173.87008666992188,174.41226536897793,173.23616816329297,173.87008666992188,105034700
2015-06-10,175.955322265625,176.3390180738914,174.57904726210626,174.63742828418202,134551300
2015-06-11,176.5225830078125,176.90626621878664,176.16390933407592,176.39745895662537,73876400
2015-06-12,175.17124938964844,176.39739079801123,174.89599185639403,175.6967422010882,135382400
2015-06-15,174.42062377929688,174.70421793148694,173.31959322020614,174.02859132818122,124384200
2015-06-16,175.3715057373047,175.45492177039128,174.095319341578,174.27047519256027,85308200
2015-06-17,175.65512084960938,176.26402996331325,174.62916970319918,175.65512084960938,126708600
2015-06-18,177.4818115234375,177.9489107889611,175.6884812588379,176.25566958768786,165867900
2015-06-19,176.69393920898438,177.31418723866855,176.31676671082127,177.238755296918,130478700
2015-06-22,177.59912109375,178.18583515828453,177.38957944288714,177.6158880068531,70696000
2015-06-23,177.72483825683594,178.06011256674546,177.33091172547898,177.8086600316651,68476800
2015-06-24,176.43414306640625,177.8338803389019,176.40899908104623,177.45670776908904,92307300
2015-06-25,175.8976287841797,177.06267975120306,175.82219686581422,176.9369598872606,97107400
2015-06-26,175.86407470703125,176.50107654699687,175.31088183081158,176.25800113650465,104174800
2015-06-29,172.1762237548828,175.87254243882475,172.10079181180083,174.38060654728815,202621300
